image_id,brightness,contrast
Chungju_chujeomtunnel(changwon)_20201020_1630_TUE_15m_NH_highway_OW2_sunny_FHD_035,115.63388061523438,54.36330795288086
Jeonju_jeongeub_20201021_0700_WED_15m_NH_highway_TW2_sunny_FHD_053,121.54158020019531,48.07208251953125
Busan_busanportbrdg5_20201029_0930_THU_8m_NH_highway_TW3_sunny_FHD_115,168.07662963867188,47.93791580200195
Suwon_CH06_20201010_1932_SAT_9m_NH_highway_OW5_sunny_FHD_033,53.880958557128906,19.180614471435547
Jincheon_namioverpass_20201020_1400_TUE_15m_NH_highway_OW2_sunny_FHD_047,133.1316680908203,55.347877502441406
Suwon_CH01_20200720_1830_MON_9m_RH_highway_TW5_sunny_FHD_030,109.95928192138672,36.85858154296875
Gangneung_nodong1brdg_20201019_1630_MON_15m_NH_highway_TW2_sunny_FHD_055,124.79418182373047,50.47730255126953
Jeonju_taeinshelter(seoul)_20201021_0730_WED_15m_NH_highway_TW2_sunny_FHD_086,106.94891357421875,40.03156661987305
Jeonju_taeinshelter(seoul)_20201020_0900_TUE_15m_NH_highway_TW2_fog_FHD_113,113.77741241455078,28.35360336303711
Cheonan_seongnam2_20201021_0930_WED_10m_RH_highway_TW3_sunny_FHD_015,115.12632751464844,42.04364776611328
Hongcheon_wonchang4brdg_20201021_1000_WED_15m_NH_highway_OW2_sunny_FHD_044,94.7757568359375,57.58319854736328
Suwon_CH10_20200721_1930_TUE_9m_NH_highway_TW5_sunny_FHD_007,88.43013763427734,37.3162956237793
Cheonan_gangjeong_20201021_0830_WED_15m_NH_highway_TW3_sunny_FHD_022,98.79365539550781,37.24163055419922
Suwon_CH08_20201011_2149_SUN_9m_NH_highway_OW5_sunny_FHD_097,68.82841491699219,22.187850952148438
Chungju_jogogli_20201020_1300_TUE_15m_RH_highway_TW2_sunny_FHD_046,123.73097229003906,55.07736587524414
Cheonan_sajeong_20201020_1330_TUE_15m_NH_highway_TW3_sunny_FHD_028,104.42254638671875,55.17300033569336
Jincheon_namioverpass_20201020_1400_TUE_15m_NH_highway_OW2_sunny_FHD_014,132.855712890625,55.65247344970703
Chungju_jogogli_20201020_0800_TUE_15m_NH_highway_TW2_fog_FHD_107,133.09735107421875,46.722530364990234
Hongcheon_gwanggyeog1brdg_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD_126,92.91512298583984,52.724021911621094
