scene_id,group,frames,occ_median,v_median,delay_median,jam_share,slow_share,level_median,detour_check,lane_occ_spread_median
Busan_busanportbrdg1_20201028_1300_TUE_8m_NH_highway_TW2_sunny_FHD,all,67,0.0367,93.9,0.039,0.0,0.0,원활,False,
Busan_busanportbrdg1_20201028_1300_TUE_8m_NH_highway_TW2_sunny_FHD,away,67,0.0308,94.9,0.032,0.0,0.0,원활,False,0.0483
Busan_busanportbrdg1_20201028_1300_TUE_8m_NH_highway_TW2_sunny_FHD,toward,67,0.0442,92.6,0.048,0.0,0.0,원활,False,0.0342
Busan_busanportbrdg1_20201029_1330_THU_8m_NH_highway_TW2_sunny_FHD,all,92,0.0374,93.8,0.04,0.0,0.0,원활,False,
Busan_busanportbrdg1_20201029_1330_THU_8m_NH_highway_TW2_sunny_FHD,away,92,0.0272,95.45,0.0285,0.0,0.0,원활,False,0.0569
Busan_busanportbrdg1_20201029_1330_THU_8m_NH_highway_TW2_sunny_FHD,toward,92,0.0465,92.25,0.05,0.0,0.0,원활,False,0.0269
Busan_busanportbrdg1_20201119_1230_THU_8m_NH_highway_TW2_rainy_FHD,all,106,0.0336,94.4,0.0355,0.0,0.0,원활,False,
Busan_busanportbrdg1_20201119_1230_THU_8m_NH_highway_TW2_rainy_FHD,away,106,0.021,96.5,0.022,0.0,0.0,원활,False,0.0471
Busan_busanportbrdg1_20201119_1230_THU_8m_NH_highway_TW2_rainy_FHD,toward,106,0.0383,93.6,0.041,0.0,0.0849,원활,False,0.0141
Busan_busanportbrdg2_20201027_1630_TUE_8m_NH_highway_TW3_sunny_FHD,all,92,0.0531,91.15,0.0585,0.0,0.0,원활,False,
Busan_busanportbrdg2_20201027_1630_TUE_8m_NH_highway_TW3_sunny_FHD,away,92,0.0667,88.85,0.0755,0.0,0.0,원활,False,0.0833
Busan_busanportbrdg2_20201027_1630_TUE_8m_NH_highway_TW3_sunny_FHD,toward,92,0.0467,92.2,0.051,0.0,0.0,원활,False,0.026
Busan_busanportbrdg2_20201028_1400_TUE_8m_NH_highway_TW3_sunny_FHD,all,101,0.0571,90.5,0.063,0.0,0.0,원활,False,
Busan_busanportbrdg2_20201028_1400_TUE_8m_NH_highway_TW3_sunny_FHD,away,101,0.0462,92.3,0.05,0.0,0.0,원활,False,0.0501
Busan_busanportbrdg2_20201028_1400_TUE_8m_NH_highway_TW3_sunny_FHD,toward,101,0.0676,88.7,0.076,0.0,0.0,원활,False,0.0388
Busan_busanportbrdg2_20201029_1130_THU_8m_NH_highway_TW3_sunny_FHD,all,126,0.0518,91.35,0.0565,0.0,0.0,원활,False,
Busan_busanportbrdg2_20201029_1130_THU_8m_NH_highway_TW3_sunny_FHD,away,126,0.039,93.5,0.042,0.0,0.0,원활,False,0.0406
Busan_busanportbrdg2_20201029_1130_THU_8m_NH_highway_TW3_sunny_FHD,toward,126,0.0585,90.3,0.064,0.0,0.0,원활,False,0.0382
Busan_busanportbrdg2_20201029_1630_THU_8m_NH_highway_TW3_sunny_FHD,all,98,0.0598,90.05,0.0665,0.0,0.0,원활,False,
Busan_busanportbrdg2_20201029_1630_THU_8m_NH_highway_TW3_sunny_FHD,away,98,0.094,84.35,0.1115,0.0,0.1122,원활,False,0.1219
Busan_busanportbrdg2_20201029_1630_THU_8m_NH_highway_TW3_sunny_FHD,toward,98,0.0449,92.5,0.049,0.0,0.0,원활,False,0.0311
Busan_busanportbrdg3_20201027_1300_TUE_8m_NH_highway_TW3_sunny_FHD,all,97,0.0356,94.1,0.038,0.0,0.0,원활,False,
Busan_busanportbrdg3_20201027_1300_TUE_8m_NH_highway_TW3_sunny_FHD,away,97,0.0342,94.3,0.036,0.0,0.0,원활,False,0.0335
